failed to get console mode for stdout: The handle is invalid.
lakefs-1  | time="2026-03-20T16:41:30Z" level=info msg="Configuration file" func=github.com/treeverse/lakefs/cmd/lakefs/cmd.initConfig file="/build/cmd/lakefs/cmd/root.go:125" fields.file=/home/lakectl/lakefs-config.yaml file="/build/cmd/lakefs/cmd/root.go:125" phase=startup
lakefs-1  | time="2026-03-20T16:41:31Z" level=info msg="Initialized local cache for committed data" func=pkg/pyramid.NewFS file="build/pkg/pyramid/tier_fs.go:84" cache_local_dir=/home/lakefs/lakefs/data/cache/range cache_max_bytes=966367641 cache_name=range disk_alloc_ratio=0.9 module=pyramid total_alloc_bytes=1073741824
lakefs-1  | time="2026-03-20T16:41:31Z" level=info msg="initialize OpenAPI server" func=pkg/api.Serve file="build/pkg/api/serve.go:60" service=api_gateway
lakefs-1  | time="2026-03-20T16:41:31Z" level=info msg="initialized S3 Gateway handler" func=pkg/gateway.NewHandler file="build/pkg/gateway/handler.go:133" s3_bare_domain="[s3.local.lakefs.io]" s3_region=us-east-1
lakefs-1  | time="2026-03-20T16:41:31Z" level=info msg="starting HTTP server" func=cmd/lakefs/cmd.init.func14 file="cmd/run.go:323" listen_address="0.0.0.0:8000"
lakefs-1  | 
lakefs-1  | lakeFS 1.79.0 - Up and running (^C to shutdown)...
lakefs-1  | 
lakefs-1  | 
lakefs-1  |      ?????????      ?????????????????? ?????????  ?????????????????????????????????????????????????????????????????????????????????
lakefs-1  |      ?????????     ????????????????????????????????? ????????????????????????????????????????????????????????????????????????????????????
lakefs-1  |      ?????????     ????????????????????????????????????????????? ??????????????????  ??????????????????  ????????????????????????
lakefs-1  |      ?????????     ????????????????????????????????????????????? ??????????????????  ??????????????????  ????????????????????????
lakefs-1  |      ?????????????????????????????????  ??????????????????  ??????????????????????????????????????????     ????????????????????????
lakefs-1  |      ?????????????????????????????????  ??????????????????  ??????????????????????????????????????????     ????????????????????????
lakefs-1  | 
lakefs-1  | ???
lakefs-1  | ??? If you're running lakeFS locally for the first time,
lakefs-1  | ???     complete the setup process at http://127.0.0.1:8000/setup
lakefs-1  | ???
lakefs-1  | ???
lakefs-1  | ??? For more information on how to use lakeFS,
lakefs-1  | ???     check out the docs at https://docs.lakefs.io/quickstart/
lakefs-1  | ???
lakefs-1  | 
lakefs-1  | ???
lakefs-1  | ??? For support or any other question,                            >(.???.)<
lakefs-1  | ???     join our Slack channel https://docs.lakefs.io/slack         (  )_
lakefs-1  | ???
lakefs-1  | 
lakefs-1  | Version 1.79.0
lakefs-1  | 
